1.69819 -0.739099 1.32905 -0.0510897 1.40125 
-0.0964195 -1.53149 -0.126998 0.0134508 
-0.698297 2.36503 -1.67461 -0.0831989 
-2.45367 -1.80314 -2.36011 1.30457 
-1.25125 0.985526 -0.649629 3.50353 
-2.09919 1.98107 -0.772144 -0.229111 
-0.849387 -0.310141 3.13533 -0.412841 
3.39466 0.00817033 -0.717705 2.6189 
0.161063 2.59198 2.06848 -0.231725 
-0.338667 -0.499399 -0.201209 -1.9725 
0.0210156 0.0375089 -0.12113 -2.24675 
2.96536 -0.565041 -0.420364 -2.00637 
-2.02373 -3.41659 2.27524 0.82989 
0.503812 0.414652 -1.85698 -1.01846 
-1.33948 -4.38623 -2.06801 -2.11358 
-0.4044 3.06069 -0.797092 -3.80218 
-0.507621 3.02771 -1.50621 0.43589 
-0.626467 -1.21643 -0.657598 -0.511748 
-0.216434 1.4503 0.773764 -0.0528962 
2.03838 0.610759 -0.949551 1.58517 
2.36389 1.66378 -1.5209 0.472415 
-1.2795 -1.04858 -2.20751 1.67698 
0.515234 -2.52482 2.2851 0.374692 
-0.303208 -0.564262 0.625966 -0.764201 
2.56248 -0.0707225 0.139453 1.89265 
1.56511 -2.38907 0.52205 -0.528824 
-1.04045 3.14638 0.0577909 -0.15771 
-0.805192 1.42509 -2.8426 -3.39214 
0.778524 -3.28183 -1.74019 -1.06491 
-0.19712 -1.01313 1.4595 -3.76467 
-0.316123 -1.25105 -0.528516 1.37627 
-2.65517 2.14361 -0.613518 1.90022 
0.632995 -0.0329021 -1.54413 -2.42206 
2.39741 -1.76726 -0.392295 -2.97154 
-2.10085 0.333019 -0.739398 1.91814 
-0.54151 -0.833812 -4.24036 -0.452874 
3.8069 -0.53804 -0.262502 1.55701 
-0.430322 -1.41088 -0.542434 1.38632 
-1.12284 0.0872909 1.09297 -0.696035 
-0.611615 -1.26352 1.37007 -0.560806 
1.36154 0.405628 1.39661 1.59632 
2.2273 -3.84548 -1.20155 -0.466564 
3.14754 2.29507 -0.84141 -2.45126 
-3.32973 3.43706 1.02265 -0.136305 
